Address,Price,Neighbourhood,Quadrant,PostalArea,Province,PropertyType,Beds,Baths,SqFt,PricePerSqFt,PriceTier,BedBand,Brokerage
2805 39 St SW,659900,Glenbrook,SW,T3E,AB,House/Town,4,3.5,1882,351,$500K-750K,4,Listed by Troy Weber
1427 25A St SW,1150000,Shaganappi,SW,T3C,AB,House/Town,4,3.5,2116,543,$1M-2M,4,Plintz Real Estate
157 Signature Way SW,1598000,Signal Hill,SW,T3H,AB,House/Town,6,4.0,3379,473,$1M-2M,5+,Homecare Realty Ltd.
1053 10 St SW #816,314900,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,777,405,$300K-500K,2,First Place Realty
3620 8 Ave NW,1975000,Parkdale,NW,T2N,AB,House/Town,4,3.5,3470,569,$1M-2M,4,RE/MAX Complete Realty
75 New Brighton Dr SE,729900,New Brighton,SE,T2Z,AB,House/Town,3,3.5,2047,357,$500K-750K,3,RE/MAX House Of Real Estate
16 Auburn Bay Link SE #301,375000,Auburn Bay,SE,T3M,AB,Condo/Apt,2,2.0,952,394,$300K-500K,2,Royal Lepage Benchmark
1719 9A St SW #445,310000,Lower Mount Royal,SW,T2T,AB,Condo/Apt,1,1.0,597,519,$300K-500K,1,Cir Realty
510 6 Ave SE #310,499900,Downtown East Village,SE,T2G,AB,Condo/Apt,2,2.0,1132,442,$300K-500K,2,RE/MAX Real Estate (Central)
1334 12 Ave SW #706,199000,Beltline,SW,T3C,AB,Condo/Apt,1,1.0,628,317,< $300K,1,D Gees Realty Inc.
68 Rosevale Dr NW,1495000,Rosemont,NW,T2K,AB,House/Town,5,3.5,2952,506,$1M-2M,5+,RE/MAX Real Estate (Central)
345 4 Ave NE #206,249900,Crescent Heights,NE,T2E,AB,Condo/Apt,2,2.0,1056,237,< $300K,2,RE/MAX Real Estate (Central)
643 4 Ave NE #13,379900,Bridgeland/Riverside,NE,T2E,AB,Condo/Apt,2,1.5,1080,352,$300K-500K,2,Charles
82 Joseph Marquis Crescent SW,1469000,Garrison Green,SW,T3E,AB,House/Town,5,3.5,2778,529,$1M-2M,5+,Sotheby's International Realty Canada
60 Masters Row SE,829900,Mahogany,SE,T3M,AB,House/Town,4,3.5,2215,375,$750K-1M,4,RE/MAX Real Estate (Central)
1331 15 Ave SW #104,200000,Beltline,SW,T3C,AB,Condo/Apt,1,1.0,496,403,< $300K,1,Real Broker
82 Legacy Glen Green SE,639900,Legacy,SE,T2X,AB,House/Town,3,2.5,1591,402,$500K-750K,3,RE/MAX Irealty Innovations
5010 Vanstone Rd NW,865000,Varsity,NW,T3A,AB,House/Town,5,3.0,1109,780,$750K-1M,5+,Cp Realty CA Pros
739 Alexander Crescent NW,1299900,Rosedale,NW,T2M,AB,House/Town,3,3.0,2082,624,$1M-2M,3,RE/MAX Real Estate (Central)
182 Skyview Shores Crescent NE,725000,Skyview Ranch,NE,T3N,AB,House/Town,3,2.5,2050,354,$500K-750K,3,Royal Lepage Solutions
211 13 Ave SE #1806,450000,Beltline,SE,T2G,AB,Condo/Apt,2,2.0,897,502,$300K-500K,2,Power Properties
37 Val Gardena View SW,1168000,Springbank Hill,SW,T3H,AB,House/Town,4,3.5,2555,457,$1M-2M,4,Grand Realty
236 Valley Glen Heights NW,675000,Valley Ridge,NW,T3B,AB,House/Town,3,2.5,2023,334,$500K-750K,3,RE/MAX Real Estate (Mountain View)
528 7 Ave NW,769900,Sunnyside,NW,T2N,AB,House/Town,3,3.5,1437,536,$750K-1M,3,RE/MAX Real Estate (Central)
32 Hunterquay Place NW,665000,Huntington Hills,NW,T2K,AB,House/Town,3,3.0,1326,502,$500K-750K,3,Cp Realty CA Pros
277 Harvest Hills Way NE,830000,Harvest Hills,NE,T3K,AB,House/Town,3,2.5,2411,344,$750K-1M,3,Exp Realty
1605 17 St SE #227,295000,Inglewood,SE,T2G,AB,Condo/Apt,1,1.0,490,602,< $300K,1,Listed by Justin Havre
49 25 Ave SW,529000,Erlton,SW,T2Z,AB,House/Town,4,2.0,748,707,$500K-750K,4,RE/MAX Real Estate (Central)
2220 33 St SW,899900,Killarney/Glengarry,SW,T3E,AB,House/Town,4,3.5,1755,513,$750K-1M,4,Prep Realty
534 20 Ave SW #302,189900,Cliff Bungalow,SW,T2S,AB,Condo/Apt,1,1.0,695,273,< $300K,1,First Place Realty
788 12 Ave SW #103,439900,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,1097,401,$300K-500K,2,First Place Realty
302 Skyview Ranch Dr NE #2420,319900,Skyview Ranch,NE,T3N,AB,Condo/Apt,2,2.0,823,389,$300K-500K,2,Maxwell Capital Realty
47 Herron Rise NE,749900,Livingston,NE,T3P,AB,House/Town,4,2.5,2227,337,$500K-750K,4,Greater Property Group
115 Herron St NE,659900,Livingston,NE,T3P,AB,House/Town,3,2.5,1713,385,$500K-750K,3,Bode Platform Inc.
3115 Fifth St NW,974900,Mount Pleasant,NW,T2M,AB,House/Town,4,3.5,1868,522,$750K-1M,4,Greater Property Group
1540 17 Ave SW #412,365000,Sunalta,SW,T2T,AB,Condo/Apt,1,2.0,902,405,$300K-500K,1,Royal Lepage Benchmark
411 68 St NE,524888,Marlborough Park,NE,T2A,AB,House/Town,3,1.5,1122,468,$500K-750K,3,Urban-Realty.Ca
450 Sage Valley Dr NW #2211,344500,Sage Hill,NW,T3R,AB,Condo/Apt,2,2.0,885,389,$300K-500K,2,Real Broker
27 Sherwood Park NW,875000,Sherwood,NW,T3R,AB,House/Town,6,4.5,2359,371,$750K-1M,5+,Power Properties
8615 33 Ave NW,1200000,Bowness,NW,T3B,AB,House/Town,4,2.5,2768,434,$1M-2M,4,RE/MAX Real Estate (Central)
12 Sage Hill Terrace NW #104,249900,Sage Hill,NW,T3R,AB,Condo/Apt,1,1.0,596,419,< $300K,1,Nineteen 88 Real Estate
318 21 Ave SW,624900,Mission,SW,T2S,AB,House/Town,1,2.0,1536,407,$500K-750K,1,RE/MAX Landan Real Estate
130 Panatella St NW #2309,279777,Panorama Hills,NW,T3K,AB,Condo/Apt,2,1.0,711,393,< $300K,2,RE/MAX Complete Realty
473 Skyview Ranch Way NE,743900,Skyview Ranch,NE,T3N,AB,House/Town,4,2.5,2345,317,$500K-750K,4,Prep Realty
1632 12 Ave SW,759000,Sunalta,SW,T3C,AB,House/Town,4,4.5,1638,463,$750K-1M,4,Cir Realty
380 Bermuda Dr NW #34,359900,Beddington Heights,NW,T3K,AB,Condo/Apt,3,1.5,1018,354,$300K-500K,3,Cir Realty
1421 7Th Ave NW #135,189900,West Hillhurst,NW,T2N,AB,Condo/Apt,1,1.0,577,329,< $300K,1,Maxwell Capital Realty
141 Sienna Park Green SW,595000,Sienna Park Green Village,SW,T3H,AB,House/Town,3,3.0,1185,502,$500K-750K,3,Homes For All Realty
325 3 St SE #311,329900,Downtown East Village,SE,T2G,AB,Condo/Apt,2,2.0,1042,317,$300K-500K,2,RE/MAX Realty Professionals
712 Centre A St NW,1200000,Crescent Heights,NW,T2M,AB,House/Town,4,3.5,2266,530,$1M-2M,4,Century 21 Bamber Realty Ltd.
147 Coral Shores Landing NE,1098000,Coral Springs,NE,T3J,AB,House/Town,7,3.5,2767,397,$1M-2M,5+,Cir Realty
42 Seton Common SE,1090000,Seton,SE,T3M,AB,House/Town,6,4.5,2645,412,$1M-2M,5+,Cir Realty
317 Skyview Ranch Way NE,594900,Skyview Ranch,NE,T3N,AB,House/Town,3,2.5,1546,385,$500K-750K,3,RE/MAX Real Estate (Central)
50 Malibou Rd SW,715000,Meadowlark Park,SW,T2V,AB,House/Town,4,1.5,1100,650,$500K-750K,4,RE/MAX Realty Professionals
510 14 Ave,940000,Renfrew,Other,T2E,AB,House/Town,4,2.5,1932,487,$750K-1M,4,RE/MAX Irealty Innovations
60 Royal Oak Plaza NW #134,318000,Royal Oak,NW,T3G,AB,Condo/Apt,2,2.0,871,365,$300K-500K,2,RE/MAX Real Estate (Central)
138 18 Ave SE #312,265000,Mission,SE,T2G,AB,Condo/Apt,1,1.0,622,426,< $300K,1,Cir Realty
25 Auburn Meadows Ave SE #225,380000,Auburn Bay,SE,T3M,AB,Condo/Apt,2,2.0,869,437,$300K-500K,2,Prep Realty
304 Cranberry Park SE #310,265000,Cranston,SE,T3M,AB,Condo/Apt,2,1.0,581,456,< $300K,2,RE/MAX Landan Real Estate
25 Auburn Meadows Ave SE #218,380000,Auburn Bay,SE,T3M,AB,Condo/Apt,2,2.0,869,437,$300K-500K,2,Prep Realty
720 13 Ave SW #2310,699900,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,2107,332,$500K-750K,2,RE/MAX Real Estate (Central)
2114 17 St SW #104,202750,Bankview,SW,T2T,AB,Condo/Apt,2,1.0,873,232,< $300K,2,Cir Realty
431 1 Ave NE #109,179000,Crescent Heights,NE,T3A,AB,Condo/Apt,1,1.0,503,356,< $300K,1,Western Gold Real Estate
8228 5 St SW,619000,Kingsland,SW,T2V,AB,House/Town,3,1.5,1004,617,$500K-750K,3,Exp Realty
3716 15A St SW #5,520000,Altadore,SW,T2T,AB,Condo/Apt,2,2.5,1372,379,$500K-750K,2,Real Broker
14 Hidden Circle NW,659900,Hidden Valley,NW,T3A,AB,House/Town,4,3.5,1755,376,$500K-750K,4,Premiere Realty Direct
6919 Elbow Dr SW #124,229900,Kelvin Grove,SW,T2V,AB,Condo/Apt,3,1.0,1115,206,< $300K,3,Datong Property Management Ltd.
3830 Brentwood Rd NW #1210,288800,Brentwood,NW,T2L,AB,Condo/Apt,1,1.0,428,675,< $300K,1,Century 21 Bravo Realty
649 Skyview Ranch Grove NE,454900,Skyview Ranch,NE,T3N,AB,House/Town,3,2.5,1431,318,$300K-500K,3,Cir Realty
304 Sovereign Common SW,833049,Shaganappi,SW,T3C,AB,House/Town,3,2.5,1689,493,$750K-1M,3,Charles
132 Maplecourt Crescent,675600,Maple Ridge,Other,T2J,AB,House/Town,3,2.5,1133,596,$500K-750K,3,Pg Direct Realty Ltd.
10407 Maplemont Rd SE,679900,Maple Ridge,SE,T2J,AB,House/Town,3,3.0,1356,501,$500K-750K,3,Royal Lepage Solutions
1940 50 Ave SW,849999,Altadore,SW,T2T,AB,House/Town,3,2.0,1458,583,$750K-1M,3,RE/MAX House Of Real Estate
1508 Robson Crescent SE,499000,Albert Park/Radisson Heights,SE,T2A,AB,House/Town,4,2.0,957,521,$300K-500K,4,Century 21 Bamber Realty Ltd.
242 Walcrest View SE,799900,Walden,SE,T2X,AB,House/Town,3,2.5,2081,384,$750K-1M,3,Royal Lepage Benchmark
43 Red Embers Lane,669999,Redstone,Other,T3N,AB,House/Town,4,3.5,1581,424,$500K-750K,4,Confident Realty Inc
82 Panton View NW,1200000,Panorama Hills,NW,T3K,AB,House/Town,4,2.5,2650,453,$1M-2M,4,Exp Realty
110 Aspen Stone Grove SW,1150000,Aspen Woods,SW,T3H,AB,House/Town,4,3.5,2430,473,$1M-2M,4,Century 21 Bravo Realty
1540 Sherwood Blvd NW #1107,299900,Sherwood,NW,T3P,AB,Condo/Apt,2,2.0,791,379,< $300K,2,Cir Realty
108 9 Ave SW #1706,669999,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,1,1.5,947,707,$500K-750K,1,Century 21 Powerrealty.Ca
206 Skyview Ranch Circle NE,429000,Skyview Ranch,NE,T3N,AB,House/Town,2,2.5,950,452,$300K-500K,2,RE/MAX Real Estate (Central)
626 14 Ave SW #1104,324900,Beltline,SW,T2R,AB,Condo/Apt,1,1.0,537,605,$300K-500K,1,Real Broker
228 26 Ave SW #402,899900,Mission,SW,T2S,AB,Condo/Apt,1,1.5,1232,730,$750K-1M,1,RE/MAX Realty Professionals
9 Sherview Point NW,849900,Sherwood,NW,T3R,AB,House/Town,4,3.5,2088,407,$750K-1M,4,Urban-Realty.Ca
4740 Dalton Dr NW #102,299999,Dalton Square,NW,T3A,AB,Condo/Apt,2,1.0,827,363,< $300K,2,Diamond Realty & Associates Ltd.
910 5 Ave SW #903,425000,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,2,2.0,951,447,$300K-500K,2,RE/MAX House Of Real Estate
123 4 Street #302,399900,Crescent Heights,Other,T2E,AB,Condo/Apt,2,1.0,540,741,$300K-500K,2,Cir Realty
164 Nolanhurst Crescent NW,770000,Nolan Hill,NW,T3R,AB,House/Town,5,3.5,2040,377,$750K-1M,5+,Century 21 Bamber Realty Ltd.
1826 18A St SW,1300000,Bankview,SW,T2T,AB,House/Town,4,3.5,2562,507,$1M-2M,4,Cir Realty
1078 6 Ave SW #1301,465000,Downtown West End,SW,T2P,AB,Condo/Apt,2,2.0,1205,386,$300K-500K,2,Avenue Home Realty Inc.
113 Amblehurst Green NW,875000,Ambleton,NW,T3P,AB,House/Town,5,3.0,2411,363,$750K-1M,5+,Exp Realty
1120 Panorama Hills Dr NW,789999,Panorama Hills,NW,T3K,AB,House/Town,7,3.5,2178,363,$750K-1M,5+,Cir Realty
80 Greenbriar Place NW #2101,405000,Greenwood/Greenbriar,NW,T3B,AB,Condo/Apt,2,2.0,816,496,$300K-500K,2,RE/MAX Real Estate (Central)
2622 46 St SE,598000,Forest Lawn,SE,T2B,AB,House/Town,4,3.0,1054,567,$500K-750K,4,Grand Realty
147 Martha's Meadow Close NE,710100,Martindale,NE,T3J,AB,House/Town,4,3.5,1823,390,$500K-750K,4,Royal Lepage Metro
99 Royston Rise NW,794900,Unknown,NW,T3L,AB,House/Town,3,2.5,2037,390,$750K-1M,3,Cir Realty
310 12 Ave SW #2903,363000,Beltline,SW,T2R,AB,Condo/Apt,1,1.0,524,693,$300K-500K,1,Real Estate Professionals Inc.
38 9 St NE #805,524900,Bridgeland/Riverside,NE,T2E,AB,Condo/Apt,2,2.0,850,618,$500K-750K,2,RE/MAX Key
200 Auburn Meadows Common SE #211,380000,Auburn Bay,SE,Unknown,AB,Condo/Apt,2,2.0,754,504,$300K-500K,2,Real Broker
930 6 Ave SW #1601,429000,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,2,2.0,801,536,$300K-500K,2,Exp Realty
235 California Place NE,899999,Monterey Park,NE,T1Y,AB,House/Town,5,4.0,2238,402,$750K-1M,5+,Exp Realty
2218 22 Ave SW,1499000,Richmond,SW,T2T,AB,House/Town,4,4.5,2464,608,$1M-2M,4,Century 21 Bamber Realty Ltd.
415 18 Ave NW,999999,Mount Pleasant,NW,T2M,AB,House/Town,4,3.5,2018,496,$750K-1M,4,RE/MAX Real Estate (Central)
231 Queensland Circle SE,699900,Queensland,SE,T2J,AB,House/Town,5,3.0,1352,518,$500K-750K,5+,RE/MAX Complete Realty
2308 Centre St NE #206,355000,Tuxedo Park,NE,T2E,AB,Condo/Apt,2,2.0,803,442,$300K-500K,2,Exp Realty
220 Seton Grove SE #1201,445000,Seton,SE,T3M,AB,Condo/Apt,2,2.0,1056,421,$300K-500K,2,Royal Lepage Noralta Real Estate
399 Evansdale Way NW,625000,Evanston,NW,T3P,AB,House/Town,4,3.5,1589,393,$500K-750K,4,Stratten Gates Real Estate Ltd.
603 7 Ave NE #203,387500,Renfrew,NE,T2E,AB,Condo/Apt,2,2.0,1028,377,$300K-500K,2,Royal Lepage Mission Real Estate
823 1 Ave NW #103,225000,Sunnyside,NW,T2N,AB,Condo/Apt,1,1.0,531,424,< $300K,1,2% Realty
132 Carringsby Ave NW,799000,Carrington,NW,Unknown,AB,House/Town,5,3.0,2340,341,$750K-1M,5+,Real Broker
131 Coventry Rd NE,499900,Coventry Hills,NE,T3K,AB,House/Town,4,1.5,1265,395,$300K-500K,4,RE/MAX House Of Real Estate
1899 45 St NW #307,359900,Montgomery,NW,T3B,AB,Condo/Apt,3,2.0,1349,267,$300K-500K,3,Cir Realty
48 Inverness Gate SE #1107,429900,Mckenzie Towne,SE,T2Z,AB,Condo/Apt,2,2.0,1086,396,$300K-500K,2,RE/MAX Landan Real Estate
1161 New Brighton Park SE,574900,New Brighton,SE,T2Z,AB,House/Town,3,2.5,1696,339,$500K-750K,3,Cir Realty
172 Eldorado Close,630000,Monterey Park,Other,T1Y,AB,House/Town,4,3.5,2039,309,$500K-750K,4,Real Broker
2416 Erlton St SW #303,420000,Erlton,SW,T2S,AB,Condo/Apt,2,2.0,1060,396,$300K-500K,2,Century 21 Bravo Realty
5605 Henwood St SW #4116,234900,Garrison Green,SW,T3E,AB,Condo/Apt,1,1.0,500,470,< $300K,1,Listed by Chase Olsen
315 24 Ave SW #225,280000,Mission,SW,T2S,AB,Condo/Apt,1,1.0,736,380,< $300K,1,Real Broker
79 Auburn Glen Way SE,685500,Auburn Bay,SE,T3M,AB,House/Town,3,2.5,2072,331,$500K-750K,3,Cir Realty
75 Hyslop Dr SW,679888,Haysboro,SW,T2V,AB,House/Town,3,2.0,1298,524,$500K-750K,3,First Place Realty
236 Pinecliff Way NE,535000,Pineridge,NE,T1Y,AB,House/Town,3,2.0,1104,485,$500K-750K,3,Listed by Justin Havre
302 Skyview Ranch Dr NE #4108,279900,Skyview Ranch,NE,T3N,AB,Condo/Apt,2,1.0,596,470,< $300K,2,Sutton Landmark Realty
2108 Tuscarora Manor NW #2108,319900,Tuscany,NW,T3L,AB,Condo/Apt,2,2.0,1001,320,$300K-500K,2,RE/MAX House Of Real Estate
20 Foley Rd SE,699900,Fairview,SE,T2H,AB,House/Town,4,3.0,1064,658,$500K-750K,4,Real Broker
660 Eau Claire Ave SW #102,595000,Eau Claire,SW,T2P,AB,Condo/Apt,1,1.5,1371,434,$500K-750K,1,Royal Lepage Solutions
72 Cornerstone Manor NE #414,485900,Yorke Townhomes,NE,T3N,AB,Condo/Apt,4,2.5,1423,341,$300K-500K,4,Confident Realty Inc
4620 Charleswood Dr NW,648800,Charleswood,NW,T2L,AB,House/Town,5,2.5,1163,558,$500K-750K,5+,RE/MAX Real Estate (Mountain View)
53 Legacy Gate SE,830000,Legacy,SE,T2X,AB,House/Town,4,3.5,1919,433,$750K-1M,4,Century 21 Powerrealty.Ca
32 Falton Close NE,475000,Falconridge,NE,T3J,AB,House/Town,4,2.0,843,563,$300K-500K,4,Grand Realty
210 Pantego Bay NW,850000,Panorama Hills,NW,T3K,AB,House/Town,4,3.5,2481,343,$750K-1M,4,Real Broker
1188 3 St SE #1405,325000,Beltline,SE,T2G,AB,Condo/Apt,1,1.0,500,650,$300K-500K,1,Century 21 Bamber Realty Ltd.
1920 14 Ave NE #312,249900,Mayland Heights,NE,T2E,AB,Condo/Apt,2,2.0,820,305,< $300K,2,Greater Property Group
8710 Horton Rd SW #812,259900,Haysboro,SW,T2V,AB,Condo/Apt,1,1.0,705,369,< $300K,1,Listed by Cliff Stevenson
217 24 Ave NW,985000,Tuxedo Park,NW,T2M,AB,House/Town,4,3.5,1939,508,$750K-1M,4,RE/MAX Realty Professionals
68 Edith Mews NW,622000,Glacier Ridge,NW,T3R,AB,House/Town,3,2.5,1600,389,$500K-750K,3,Bode Platform Inc.
133 Panamount Villas NW,649900,Panorama Hills,NW,T3K,AB,House/Town,3,2.5,1893,343,$500K-750K,3,RE/MAX House Of Real Estate
777 3 Ave SW #403,375000,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,2,2.0,1022,367,$300K-500K,2,Real Broker
2200 Woodview Dr SW #601,200000,Sierra Gardens,SW,T2W,AB,Condo/Apt,2,1.0,861,232,< $300K,2,Cir Realty
147 Covemeadow Rd NE,577000,Coventry Hills,NE,T3K,AB,House/Town,3,2.5,1287,448,$500K-750K,3,Homecare Realty Ltd.
1931 25A St SW #201,359900,Killarney/Glengarry,SW,T3E,AB,Condo/Apt,2,1.0,932,386,$300K-500K,2,Real Estate Professionals Inc.
41 Heirloom Crescent SE,569900,Section 23,SE,T3M,AB,House/Town,3,2.5,1525,374,$500K-750K,3,Cir Realty
4619 72 St NW,899000,Bowness,NW,T3B,AB,House/Town,5,3.5,1956,460,$750K-1M,5+,Exp Realty
2628 36 St SW,585000,Killarney/Glengarry,SW,T3E,AB,House/Town,3,2.0,1133,516,$500K-750K,3,Diamond Realty & Associates Ltd.
335 30 Ave NE #302,289500,Tuxedo Park,NE,T2E,AB,Condo/Apt,2,2.0,939,308,< $300K,2,Century 21 Bamber Realty Ltd.
214 Mt Lorette Close SE,519900,Mckenzie Lake,SE,T2Z,AB,House/Town,3,2.5,1475,352,$500K-750K,3,RE/MAX Real Estate (Central)
8 Spring Willow Place SW,1574900,Springbank Hill,SW,T3H,AB,House/Town,4,3.5,3278,480,$1M-2M,4,Jayman Realty Inc.
118 Saddlecrest Crescent NE,775000,Saddle Ridge,NE,T3J,AB,House/Town,6,3.5,2096,370,$750K-1M,5+,Greater Property Group
215 Legacy Blvd SE #4209,210000,Legacy,SE,T2X,AB,Condo/Apt,1,1.0,600,350,< $300K,1,RE/MAX Landan Real Estate
476 Skyview Shores Manor NE,824999,Skyview Ranch,NE,T3N,AB,House/Town,6,4.0,2440,338,$750K-1M,5+,Prep Realty
48 Evanscove Heights NW,849900,Evanston,NW,T3P,AB,House/Town,5,3.5,2224,382,$750K-1M,5+,Amg Realty
73 Hampstead Mews NW,1649900,Hamptons,NW,T3A,AB,House/Town,6,5.0,3057,540,$1M-2M,5+,Real Broker
930 6 Ave SW #3107,365000,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,1,1.0,558,654,$300K-500K,1,Listed by David Hammer
431 1 Ave NE #308,197500,Crescent Heights,NE,T2E,AB,Condo/Apt,2,1.0,706,280,< $300K,2,2% Realty
20 Sage Hill Walk NW #407,269000,Sage Hill,NW,T3R,AB,Condo/Apt,1,1.0,436,617,< $300K,1,Boutique Properties Inc.
315 9A St NW #106,210000,Sunnyside,NW,T2N,AB,Condo/Apt,1,1.0,510,412,< $300K,1,Cir Realty
5153 Coral Shores Dr NE,685000,Coral Springs,NE,T3J,AB,House/Town,5,3.5,1873,366,$500K-750K,5+,Urban-Realty.Ca
226 Alexandria Green SW,1798900,Currie Barracks,SW,T3E,AB,House/Town,5,4.5,4249,423,$1M-2M,5+,Listed by Mathew Said Morley
7607 26A St SE,399000,Ogden,SE,T2C,AB,House/Town,3,1.0,1105,361,$300K-500K,3,Cir Realty
26 Varston Place NW,999900,Varsity,NW,T3A,AB,House/Town,6,4.0,1905,525,$750K-1M,5+,Grand Realty
303 13 Ave SW #103,445000,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,1077,413,$300K-500K,2,Exp Realty
15207 1 St SE #301,588888,Midnapore,SE,T2X,AB,Condo/Apt,3,3.0,1484,397,$500K-750K,3,RE/MAX Landan Real Estate
1831 13 Ave NW,839000,Hounsfield Heights/Briar Hill,NW,T2N,AB,House/Town,3,2.0,1017,825,$750K-1M,3,Greater Property Group
2010 35 Ave SW #308,275000,Altadore,SW,T2T,AB,Condo/Apt,2,1.0,1027,268,< $300K,2,Nineteen 88 Real Estate
2611 15A St SW #204,194900,Bankview,SW,T4T,AB,Condo/Apt,1,1.0,606,322,< $300K,1,Fair Commissions Realty & Property Management
63 Saddlemont Way NE,475000,Saddle Ridge,NE,T3J,AB,House/Town,3,1.5,1225,388,$300K-500K,3,RE/MAX House Of Real Estate
690 Princeton Way SW #101,950000,Eau Claire,SW,T2P,AB,Condo/Apt,2,2.0,1396,681,$750K-1M,2,Listed by Justin Havre
90 Sage Valley Rd NW,675000,Sage Hill,NW,T3R,AB,House/Town,3,2.5,1839,367,$500K-750K,3,Listed by Justin Havre
8880 Horton Rd SW #118,339900,Haysboro,SW,T2V,AB,Condo/Apt,2,2.0,975,349,$300K-500K,2,Exp Realty
86 Slopes Point SW,1799000,Springbank Hill,SW,T3H,AB,House/Town,4,3.0,2660,676,$1M-2M,4,First Place Realty
402 Kincora Glen Rd NW #2102,339900,Kincora,NW,T3R,AB,Condo/Apt,2,2.0,834,408,$300K-500K,2,Royal Lepage Benchmark
144 Copperleaf Way SE,499900,Copperfield,SE,T2Z,AB,House/Town,3,3.5,1517,330,$300K-500K,3,Real Estate Professionals Inc.
730 5 St NE #309,300000,Renfrew,NE,T2E,AB,Condo/Apt,1,1.5,645,465,$300K-500K,1,Listed by Justin Havre
325 3 St SE #1803,399500,Downtown East Village,SE,Unknown,AB,Condo/Apt,2,2.0,863,463,$300K-500K,2,RE/MAX Real Estate (Mountain View)
1903 7 St SW,1225000,Brompton Court,SW,T2T,AB,House/Town,3,3.5,1839,666,$1M-2M,3,Royal Lepage Benchmark
504 9A St NE,1850000,Bridgeland/Riverside,NE,T2E,AB,House/Town,4,3.5,2617,707,$1M-2M,4,Maxwell Capital Realty
39 Yorkville Rd SW,837990,Yorkville,SW,T2X,AB,House/Town,4,2.5,2750,305,$750K-1M,4,RE/MAX Crown
134 Corner Meadows Gardens NE,625000,Cornerstone,NE,T3N,AB,House/Town,3,2.5,1588,394,$500K-750K,3,Real Estate Professionals Inc.
1119 14 St NW,649900,Hounsfield Heights/Briar Hill,NW,T2N,AB,House/Town,4,2.0,1224,531,$500K-750K,4,Creekside Realty
12240 Lake Louise Way SE,1500000,Lake Bonavista,SE,T2J,AB,House/Town,4,3.5,1770,847,$1M-2M,4,Listed by Justin Havre
930 18 Ave SW #407,364900,Lower Mount Royal,SW,T2T,AB,Condo/Apt,2,2.0,1171,312,$300K-500K,2,RE/MAX Landan Real Estate
1932 29 Ave SW,1129000,South CA,SW,T2T,AB,House/Town,3,3.5,2449,461,$1M-2M,3,Listed by Angela Els
115 Copperstone Park SE,479900,Copperfield Chalet,SE,T2Z,AB,House/Town,3,2.5,1524,315,$300K-500K,3,Royal Lepage Benchmark
131 Pump Hill Place SW,1700000,Pump Hill,SW,T2V,AB,House/Town,5,4.5,3441,494,$1M-2M,5+,RE/MAX House Of Real Estate
33 Arbour Crescent SE,668000,Acadia,SE,T2J,AB,House/Town,4,3.0,1045,639,$500K-750K,4,Cir Realty
1386 Legacy Circle SE,749900,Legacy,SE,Unknown,AB,House/Town,3,2.5,1654,453,$500K-750K,3,Real Broker
235 Saddlestone Grove NE,749000,Saddle Ridge,NE,T3J,AB,House/Town,3,2.5,1863,402,$500K-750K,3,RE/MAX Complete Realty
138 Creekside Way SW,779900,Pine Creek,SW,T2X,AB,House/Town,4,3.5,2130,366,$750K-1M,4,Maara Realty Inc.
1805 26 Ave SW #206,269900,South CA,SW,T2T,AB,Condo/Apt,1,1.0,673,401,< $300K,1,Listed by David Johnston
200 Nolanfield Way NW,769900,Nolan Hill,NW,T3R,AB,House/Town,4,3.5,1956,394,$750K-1M,4,Zolo Realty
95 Burma Star Rd SW #3208,365000,Currie Barracks,SW,T3E,AB,Condo/Apt,2,1.0,704,518,$300K-500K,2,Exp Realty
1010 6 St SW #1403,359900,Beltline,SW,T2R,AB,Condo/Apt,1,1.0,580,621,$300K-500K,1,Century 21 Bamber Realty Ltd.
930 6 Ave SW #2210,320000,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,1,1.0,566,565,$300K-500K,1,RE/MAX House Of Real Estate
930 6 Ave SW #2306,575000,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,2,2.0,977,589,$500K-750K,2,RE/MAX House Of Real Estate
930 6 Ave SW #2308,392500,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,2,2.0,759,517,$300K-500K,2,RE/MAX House Of Real Estate
500 Eau Claire Ave SW #1301A,1025000,Eau Claire,SW,T2P,AB,Condo/Apt,2,2.0,2145,478,$1M-2M,2,RE/MAX Realty Professionals
5988 Madigan Dr NE,639900,Marlborough Park,NE,T2A,AB,House/Town,7,4.0,1418,451,$500K-750K,5+,Urban-Realty.Ca
211 13 Ave SE #1704,325000,Beltline,SE,T2G,AB,Condo/Apt,1,1.0,577,563,$300K-500K,1,Cir Realty
4511 35 Ave SW,959900,Glenbrook,SW,T3E,AB,House/Town,4,3.5,1893,507,$750K-1M,4,RE/MAX Landan Real Estate
