Address,Price,Neighbourhood,Quadrant,PostalArea,Province,PropertyType,Beds,Baths,SqFt,PricePerSqFt,PriceTier,BedBand,Brokerage
4325 19 Ave NW,578875,Montgomery,NW,T3B,AB,House/Town,4,2.0,810,715,$500K-750K,4,Real Broker
544 Blackthorn Rd NE #1302,335000,Thorncliffe,NE,T2K,AB,Condo/Apt,2,2.0,948,353,$300K-500K,2,Bow Realty
136 Sherwood Crescent NW,839900,Sherwood,NW,T3R,AB,House/Town,4,3.5,2215,379,$750K-1M,4,First Place Realty
2634 5 Ave NW,1389000,West Hillhurst,NW,T2N,AB,House/Town,4,3.5,1952,712,$1M-2M,4,RE/MAX House Of Real Estate
3923 74 St NW,809000,Bowness,NW,T3B,AB,House/Town,4,3.5,1786,453,$750K-1M,4,Real Broker
917 18 Ave NW,575000,Mount Pleasant,NW,T2M,AB,House/Town,2,1.0,920,625,$500K-750K,2,Real Broker
181 Hotchkiss Way SE,615000,Hotchkiss,SE,T3S,AB,House/Town,3,2.5,1846,333,$500K-750K,3,Royal Lepage Metro
1410 2 St SW #407,320000,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,832,385,$300K-500K,2,Real Estate Professionals Inc.
5311 Lakeview Dr SW,699900,Lakeview,SW,T3E,AB,House/Town,4,1.5,1273,550,$500K-750K,4,RE/MAX House Of Real Estate
30 Brentwood Common NW #1013,499999,Brentwood,NW,T2L,AB,Condo/Apt,2,2.0,753,664,$300K-500K,2,Exp Realty
7 Westpark Common SW #208,423000,West Springs,SW,T3H,AB,Condo/Apt,2,2.5,1184,357,$300K-500K,2,Cir Realty
2330 Fish Creek Blvd SW #1346,859900,Evergreen,SW,T2Y,AB,Condo/Apt,2,2.0,1367,629,$750K-1M,2,RE/MAX Irealty Innovations
13104 Elbow Dr SW #1004,300000,Canyon Creek Heights,SW,T2W,AB,Condo/Apt,3,1.0,1017,295,$300K-500K,3,Royal Lepage Solutions
155 Saddlemead Green NE,569900,Saddle Ridge,NE,T3J,AB,House/Town,3,2.0,1034,551,$500K-750K,3,Urban-Realty.Ca
225 11 Ave SE #1909,330000,Beltline,SE,T2G,AB,Condo/Apt,1,1.0,549,601,$300K-500K,1,Coldwell Banker Mountain Central
2711 18 St NW,1015000,Capitol Hill,NW,T2M,AB,House/Town,4,3.5,1767,574,$1M-2M,4,RE/MAX House Of Real Estate
222 Hidden Spring Mews NW,599000,Hidden Valley,NW,T3A,AB,House/Town,2,3.5,1294,463,$500K-750K,2,RE/MAX Irealty Innovations
25 Homestead Crescent NE,649900,Homestead,NE,T3J,AB,House/Town,6,3.5,1992,326,$500K-750K,5+,Cir Realty
2031A 50 Ave SW,1289000,North Glenmore Park,SW,T2T,AB,House/Town,5,3.5,2357,547,$1M-2M,5+,Exp Realty
2031B 50 Ave SW,1284000,North Glenmore Park,SW,T2T,AB,House/Town,5,3.0,2343,548,$1M-2M,5+,Exp Realty
154 Saddlecrest Grove,875000,Saddle Ridge,Other,T3J,AB,House/Town,4,4.0,2651,330,$750K-1M,4,RE/MAX Real Estate (Central)
258 Cityscape Gardens NE,589000,Cityscape,NE,T3N,AB,House/Town,3,2.5,1480,398,$500K-750K,3,RE/MAX House Of Real Estate
50 Woodpark Circle SW,749900,Woodlands,SW,T2W,AB,House/Town,4,3.5,2332,322,$500K-750K,4,RE/MAX Real Estate (Mountain View)
191 Evansglen Circle NW,849990,Evanston,NW,T3P,AB,House/Town,4,2.5,2556,333,$750K-1M,4,Real Estate Professionals Inc.
27 Oakmount Place SW,1049000,Oakridge,SW,T2V,AB,House/Town,4,2.5,2734,384,$1M-2M,4,Royal Lepage Benchmark
43 Country Village Ln NE #2113,215000,Country Hills Village,NE,T3K,AB,Condo/Apt,1,1.0,570,377,< $300K,1,Cir Realty
270 Copperpond Landing SE,419900,Copperfield,SE,T2Z,AB,House/Town,3,2.5,1229,342,$300K-500K,3,Listed by Le Steele
115 Yorkville Rd SW,709900,Yorkville,SW,T2X,AB,House/Town,3,2.5,1913,371,$500K-750K,3,Ymk Real Estate & Management Inc.
68 Marquis View SE,1322800,Mahogany,SE,T3M,AB,House/Town,4,3.5,2901,456,$1M-2M,4,The Real Estate Company
10 Auburn Bay Ave SE #513,449900,Chesapeake,SE,T3M,AB,Condo/Apt,2,2.0,1249,360,$300K-500K,2,Engel & Volkers CA
408 Chaparral Valley Way SE,725000,Chaparral,SE,T2X,AB,House/Town,4,3.5,1946,373,$500K-750K,4,Cir Realty
57 Walden Common SE,399900,Walden,SE,T2X,AB,House/Town,2,2.5,1229,325,$300K-500K,2,Cir Realty
88 9 St NE #103,729900,Bridgeland/Riverside,NE,T2E,AB,Condo/Apt,2,2.0,1227,595,$500K-750K,2,Charles
1606 42 St SW,999000,Rosscarrock,SW,T3C,AB,House/Town,4,3.5,2255,443,$750K-1M,4,Cir Realty
3115 Lake Fraser Green SE #....,525000,Lake Bonavista,SE,T2J,AB,Condo/Apt,2,2.0,1211,434,$500K-750K,2,Royal Lepage Solutions
916 41 St SE,375000,Forest Lawn,SE,T2A,AB,House/Town,2,2.0,750,500,$300K-500K,2,Cir Realty
1087 2 Ave NW #307,239900,Sunnyside,NW,T2N,AB,Condo/Apt,1,1.0,426,563,< $300K,1,Greater Property Group
117 Cougartown Circle SW,710000,Cougar Ridge,SW,T3H,AB,House/Town,4,3.5,1803,394,$500K-750K,4,Cir Realty
1824 New Brighton Dr SE,525000,New Brighton,SE,T2Z,AB,House/Town,4,3.5,1890,278,$500K-750K,4,Exa Realty
1112 Lake Sundance Crescent SE,819900,Lake Bonavista,SE,T2J,AB,House/Town,4,3.0,1288,637,$750K-1M,4,Real Estate Professionals Inc.
74 Kinlea Way NW,719000,Kincora,NW,T3R,AB,House/Town,3,2.5,2134,337,$500K-750K,3,Charles
157 Walden Park SE,659000,Walden,SE,T2X,AB,House/Town,3,2.5,2010,328,$500K-750K,3,Charles
1066 Creekside Blvd SW,580900,Unknown,SW,T2X,AB,House/Town,1,1.5,964,603,$500K-750K,1,Maxwell Canyon Creek
211 13 Ave SE #3205,799000,Beltline,SE,T2G,AB,Condo/Apt,2,2.0,1319,606,$750K-1M,2,Charles
920 Crescent Blvd SW,2498000,Britannia,SW,T2S,AB,House/Town,4,5.0,4226,591,$2M+,4,Real Estate Professionals Inc.
168 Cranford Walk SE,429900,Mosaic Cranston,SE,T3M,AB,House/Town,2,2.0,1134,379,$300K-500K,2,2% Realty
923 15 Ave SW #302,369900,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,1010,366,$300K-500K,2,Century 21 Bamber Realty Ltd.
143 Parkview Way SE,894900,Parkland,SE,T2J,AB,House/Town,4,3.5,1837,487,$750K-1M,4,2% Realty
205 Chaparral Valley Dr SE,499000,Chaparral,SE,T2X,AB,House/Town,4,2.5,1425,350,$300K-500K,4,RE/MAX House Of Real Estate
2422 30 Ave SW,1249900,Richmond,SW,T2T,AB,House/Town,4,3.5,2080,601,$1M-2M,4,Exp Realty
1319 8 Ave NE,799000,Renfrew,NE,T2E,AB,House/Town,4,3.0,1358,588,$750K-1M,4,Real Broker
1315 8 Ave NE,699000,Renfrew,NE,T2E,AB,House/Town,4,2.0,1059,660,$500K-750K,4,Real Broker
130 Somerset Way SW,599900,Somerset,SW,T2Y,AB,House/Town,4,2.5,1815,331,$500K-750K,4,Stonemere Real Estate Solutions
315 Cougarstone Circle SW,782000,Cougar Ridge,SW,T3H,AB,House/Town,3,2.5,2129,367,$750K-1M,3,RE/MAX Real Estate (Central)
43 Gateway Dr SW,885000,Glendale,SW,T3E,AB,House/Town,4,2.0,1289,687,$750K-1M,4,RE/MAX Irealty Innovations
9800 Horton Rd SW #706,215000,Haysboro,SW,T2V,AB,Condo/Apt,1,1.0,700,307,< $300K,1,Cir Realty
228 26 Ave SW #503,2050000,Mission,SW,T2S,AB,Condo/Apt,2,2.0,2347,873,$2M+,2,RE/MAX Realty Professionals
4203 4 St NW,579900,Highwood,NW,T2K,AB,House/Town,5,2.0,926,626,$500K-750K,5+,RE/MAX Real Estate (Central)
70 Mayfair Rd SW,798000,Meadowlark Park,SW,T2V,AB,House/Town,3,4.0,1188,672,$750K-1M,3,Listed by Seamus Logue
27 Woodgrove Crescent SW,840000,Woodlands,SW,T2W,AB,House/Town,5,3.5,2352,357,$750K-1M,5+,Maxwell Capital Realty
3235 Boulton Rd NW,675000,Brentwood,NW,T2L,AB,House/Town,4,1.5,1257,537,$500K-750K,4,Listed by Jamie Newton
17 Martinvalley Place NE,599000,Martindale,NE,T3J,AB,House/Town,5,3.0,1003,597,$500K-750K,5+,Insta Realty
901 10 Ave SW #2003,319900,Beltline,SW,T2R,AB,Condo/Apt,1,1.0,534,599,$300K-500K,1,RE/MAX Landan Real Estate
811 Willow Park Dr SE,839900,Willow Park,SE,T2J,AB,House/Town,1,1.5,2132,394,$750K-1M,1,Real Estate Professionals Inc.
33 Rockhaven Green NW,949999,Rocky Ridge,NW,T3G,AB,House/Town,3,2.5,1465,648,$750K-1M,3,Stratten Gates Real Estate Ltd.
1712 38 St SE #209,179900,Forest Lawn,SE,T2A,AB,Condo/Apt,2,1.0,815,221,< $300K,2,Grand Realty
3911 1 St NE #8,170000,Highland Park,NE,T2E,AB,Condo/Apt,2,1.0,709,240,< $300K,2,RE/MAX Key
989 Ranchview Crescent NW,699000,Ranchlands,NW,T3G,AB,House/Town,5,4.0,1774,394,$500K-750K,5+,Exp Realty
2200 Marda Link SW #344,670000,Garrison Woods,SW,T2T,AB,Condo/Apt,2,2.5,1552,432,$500K-750K,2,Sotheby's International Realty Canada
1919 36 St SW #304,220000,Killarney/Glengarry,SW,T3E,AB,Condo/Apt,2,1.0,747,295,< $300K,2,First Place Realty
302 Skyview Ranch Dr NE #6215,324900,Skyview Ranch,NE,T3N,AB,Condo/Apt,2,2.0,882,368,$300K-500K,2,2% Realty
19 Arbour Crescent SE,550000,Acadia,SE,T2J,AB,House/Town,3,1.5,1068,515,$500K-750K,3,Maxwell Canyon Creek
4908 Bowness Rd NW,520000,Montgomery,NW,T3B,AB,House/Town,1,1.0,749,694,$500K-750K,1,Power Properties
133 25 Ave SW #7D,359000,Mission,SW,T2S,AB,Condo/Apt,2,2.0,1208,297,$300K-500K,2,RE/MAX Realty Professionals
14 Edgevalley View NW,899900,Edgemont,NW,T3A,AB,House/Town,2,2.5,1565,575,$750K-1M,2,Royal Lepage Benchmark
30 Walgrove #316,299900,Walden,Other,T2X,AB,Condo/Apt,2,1.0,602,498,< $300K,2,Ally Realty
125 Saddlecreek Point NE,599900,Saddle Ridge,NE,T3J,AB,House/Town,4,2.5,1416,424,$500K-750K,4,Urban-Realty.Ca
6982 Christie Estate Blvd SW,890000,Christie Park,SW,T3H,AB,House/Town,5,3.5,2117,420,$750K-1M,5+,Grand Realty
17 Tremblant Terrace SW,1049900,Springbank Hill,SW,T3H,AB,House/Town,4,3.5,2463,426,$1M-2M,4,Grand Realty
103 Wentworth Ct SW,1885000,West Springs,SW,T3H,AB,House/Town,5,4.5,2589,728,$1M-2M,5+,RE/MAX Real Estate (Central)
341 Walcrest View SE,820000,Walden,SE,T2X,AB,House/Town,5,3.5,2235,367,$750K-1M,5+,Unknown
54 Saratoga Close NE,584900,Monterey Park,NE,T1Y,AB,House/Town,5,3.0,2047,286,$500K-750K,5+,Ismart Realty
3536 Benton Dr NW,699000,Brentwood,NW,T2L,AB,House/Town,4,3.0,1485,471,$500K-750K,4,Cir Realty
56 Coulee Crescent SW,1215000,Cougar Ridge,SW,T3H,AB,House/Town,4,3.5,2657,457,$1M-2M,4,Exp Realty
58 West Point Mews SW,1480000,West Springs,SW,T3H,AB,House/Town,5,3.5,2911,508,$1M-2M,5+,RE/MAX Irealty Innovations
187 Cranbrook Circle SE,1349000,Cranston,SE,T3M,AB,House/Town,5,4.5,2758,489,$1M-2M,5+,Real Estate Professionals Inc.
203 Lynnview Rd SE #106S,334900,Riverside Gate,SE,T2C,AB,Condo/Apt,3,1.5,1008,332,$300K-500K,3,Cir Realty
